[SUM]  0.0- 1.0 sec  2.84 KBytes  23.2 Kbits/sec
[SUM]  1.0- 2.0 sec  52.5 KBytes   430 Kbits/sec
[SUM]  2.0- 3.0 sec  31.2 KBytes   256 Kbits/sec
[SUM]  3.0- 4.0 sec  96.4 KBytes   790 Kbits/sec
[SUM]  4.0- 5.0 sec  17.0 KBytes   139 Kbits/sec
[SUM]  5.0- 6.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  6.0- 7.0 sec  61.0 KBytes   499 Kbits/sec
[SUM]  7.0- 8.0 sec  48.2 KBytes   395 Kbits/sec
[SUM] 257.0-258.0 sec   126 KBytes  1.03 Mbits/sec
[SUM] 258.0-259.0 sec   127 KBytes  1.04 Mbits/sec
[SUM] 259.0-260.0 sec   130 KBytes  1.07 Mbits/sec
[SUM] 260.0-261.0 sec  25.2 KBytes   206 Kbits/sec
[SUM] 261.0-262.0 sec   131 KBytes  1.07 Mbits/sec
[SUM] 262.0-263.0 sec   111 KBytes   912 Kbits/sec
[SUM] 263.0-264.0 sec  10.1 KBytes  82.9 Kbits/sec
[SUM] 264.0-265.0 sec  63.8 KBytes   523 Kbits/sec
[SUM] 265.0-266.0 sec  43.8 KBytes   359 Kbits/sec
[SUM] 266.0-267.0 sec  74.5 KBytes   611 Kbits/sec
[SUM] 267.0-268.0 sec   157 KBytes  1.29 Mbits/sec
[SUM] 268.0-269.0 sec  88.1 KBytes   721 Kbits/sec
[SUM] 269.0-270.0 sec  73.2 KBytes   599 Kbits/sec
[SUM] 270.0-271.0 sec  32.1 KBytes   263 Kbits/sec
[SUM] 271.0-272.0 sec   109 KBytes   893 Kbits/sec
[SUM] 272.0-273.0 sec  12.6 KBytes   103 Kbits/sec
[SUM] 273.0-274.0 sec  78.2 KBytes   640 Kbits/sec
[SUM] 274.0-275.0 sec  57.1 KBytes   467 Kbits/sec
[SUM] 275.0-276.0 sec  78.7 KBytes   645 Kbits/sec
[SUM] 276.0-277.0 sec   123 KBytes  1.01 Mbits/sec
[SUM] 277.0-278.0 sec  90.6 KBytes   742 Kbits/sec
[SUM] 278.0-279.0 sec   138 KBytes  1.13 Mbits/sec
[SUM] 279.0-280.0 sec  75.0 KBytes   614 Kbits/sec
